domain,site,plot,measurementLevel,sensorDepths,startDate,endDate
4,GUAN,2,5,-0.955,20100101125959,NA
4,GUAN,2,6,-1.155,20100101125959,NA
4,GUAN,2,7,-1.455,20100101125959,NA
4,GUAN,2,8,-1.955,20100101125959,NA
4,GUAN,3,1,-0.055,20100101125959,NA
4,GUAN,3,2,-0.155,20100101125959,NA
4,GUAN,3,3,-0.255,20100101125959,NA
4,GUAN,3,4,-0.455,20100101125959,NA
4,GUAN,3,5,-0.955,20100101125959,NA
4,GUAN,3,6,-1.155,20100101125959,NA
4,GUAN,3,7,-1.455,20100101125959,NA
4,GUAN,3,8,-1.955,20100101125959,NA
4,GUAN,4,1,-0.052,20100101125959,NA
4,GUAN,4,2,-0.152,20100101125959,NA
4,GUAN,4,3,-0.252,20100101125959,NA
4,GUAN,4,4,-0.452,20100101125959,NA
4,GUAN,4,5,-0.952,20100101125959,NA
4,GUAN,4,6,-1.152,20100101125959,NA
4,GUAN,4,7,-1.452,20100101125959,NA
4,GUAN,4,8,-1.952,20100101125959,NA
4,GUAN,5,1,-0.06,20100101125959,NA
4,GUAN,5,2,-0.16,20100101125959,NA
4,GUAN,5,3,-0.26,20100101125959,NA
4,GUAN,5,4,-0.46,20100101125959,NA
4,GUAN,5,5,-0.96,20100101125959,NA
4,GUAN,5,6,-1.16,20100101125959,NA
4,GUAN,5,7,-1.46,20100101125959,NA
4,GUAN,5,8,-1.96,20100101125959,NA
4,LAJA,1,1,-0.065,20100101125959,NA
4,LAJA,1,2,-0.165,20100101125959,NA
4,LAJA,1,3,-0.265,20100101125959,NA
4,LAJA,1,4,-0.565,20100101125959,NA
4,LAJA,1,5,-0.965,20100101125959,NA
4,LAJA,1,6,-1.265,20100101125959,NA
4,LAJA,1,7,-1.665,20100101125959,NA
4,LAJA,1,8,-1.965,20100101125959,NA
4,LAJA,2,1,-0.06,20100101125959,NA
4,LAJA,2,2,-0.16,20100101125959,NA
4,LAJA,2,3,-0.26,20100101125959,NA
4,LAJA,2,4,-0.56,20100101125959,NA
4,LAJA,2,5,-0.96,20100101125959,NA
4,LAJA,2,6,-1.26,20100101125959,NA
4,LAJA,2,7,-1.66,20100101125959,NA
4,LAJA,2,8,-1.96,20100101125959,NA
4,LAJA,3,1,-0.06,20100101125959,NA
4,LAJA,3,2,-0.16,20100101125959,NA
4,LAJA,3,3,-0.26,20100101125959,NA
4,LAJA,3,4,-0.56,20100101125959,NA
4,LAJA,3,5,-0.96,20100101125959,NA
4,LAJA,3,6,-1.26,20100101125959,NA
4,LAJA,3,7,-1.66,20100101125959,NA
4,LAJA,3,8,-1.96,20100101125959,NA
4,LAJA,4,1,-0.06,20100101125959,NA
4,LAJA,4,2,-0.16,20100101125959,NA
4,LAJA,4,3,-0.26,20100101125959,NA
4,LAJA,4,4,-0.56,20100101125959,NA
4,LAJA,4,5,-0.96,20100101125959,NA
4,LAJA,4,6,-1.26,20100101125959,NA
4,LAJA,4,7,-1.66,20100101125959,NA
4,LAJA,4,8,-1.96,20100101125959,NA
4,LAJA,5,1,-0.055,20100101125959,NA
4,LAJA,5,2,-0.155,20100101125959,NA
4,LAJA,5,3,-0.255,20100101125959,NA
4,LAJA,5,4,-0.555,20100101125959,NA
4,LAJA,5,5,-0.955,20100101125959,NA
4,LAJA,5,6,-1.255,20100101125959,NA
4,LAJA,5,7,-1.655,20100101125959,NA
4,LAJA,5,8,-1.955,20100101125959,NA
5,STEI,1,1,-0.063,20100101125959,NA
5,STEI,1,2,-0.163,20100101125959,NA
5,STEI,1,3,-0.263,20100101125959,NA
5,STEI,1,4,-0.463,20100101125959,NA
5,STEI,1,5,-0.663,20100101125959,NA
5,STEI,1,6,-0.963,20100101125959,NA
5,STEI,1,7,-1.263,20100101125959,NA
5,STEI,1,8,-1.963,20100101125959,NA
5,STEI,2,1,-0.065,20100101125959,NA
5,STEI,2,2,-0.165,20100101125959,NA
5,STEI,2,3,-0.265,20100101125959,NA
5,STEI,2,4,-0.465,20100101125959,NA
5,STEI,2,5,-0.665,20100101125959,NA
5,STEI,2,6,-0.965,20100101125959,NA
5,STEI,2,7,-1.265,20100101125959,NA
5,STEI,2,8,-1.965,20100101125959,NA
5,STEI,3,1,-0.06,20100101125959,NA
5,STEI,3,2,-0.16,20100101125959,NA
5,STEI,3,3,-0.26,20100101125959,NA
5,STEI,3,4,-0.46,20100101125959,NA
5,STEI,3,5,-0.66,20100101125959,NA
5,STEI,3,6,-0.96,20100101125959,NA
5,STEI,3,7,-1.26,20100101125959,NA
5,STEI,3,8,-1.96,20100101125959,NA
5,STEI,4,1,-0.07,20100101125959,NA
5,STEI,4,2,-0.17,20100101125959,NA
5,STEI,4,3,-0.27,20100101125959,NA
5,STEI,4,4,-0.47,20100101125959,NA
5,STEI,4,5,-0.67,20100101125959,NA
5,STEI,4,6,-0.97,20100101125959,NA
5,STEI,4,7,-1.27,20100101125959,NA
5,STEI,4,8,-1.97,20100101125959,NA
5,STEI,5,1,-0.063,20100101125959,NA
5,STEI,5,2,-0.163,20100101125959,NA
5,STEI,5,3,-0.263,20100101125959,NA
5,STEI,5,4,-0.463,20100101125959,NA
5,STEI,5,5,-0.663,20100101125959,NA
5,STEI,5,6,-0.963,20100101125959,NA
5,STEI,5,7,-1.263,20100101125959,NA
5,STEI,5,8,-1.963,20100101125959,NA
5,TREE,1,1,-0.06,20100101125959,NA
5,TREE,1,2,-0.16,20100101125959,NA
5,TREE,1,3,-0.26,20100101125959,NA
5,TREE,1,4,-0.46,20100101125959,NA
5,TREE,1,5,-0.56,20100101125959,NA
5,TREE,1,6,-0.86,20100101125959,NA
5,TREE,1,7,-1.36,20100101125959,NA
5,TREE,1,8,-1.96,20100101125959,NA
5,TREE,2,1,-0.07,20100101125959,NA
5,TREE,2,2,-0.17,20100101125959,NA
5,TREE,2,3,-0.27,20100101125959,NA
5,TREE,2,4,-0.47,20100101125959,NA
5,TREE,2,5,-0.57,20100101125959,NA
5,TREE,2,6,-0.87,20100101125959,NA
5,TREE,2,7,-1.37,20100101125959,NA
5,TREE,2,8,-1.97,20100101125959,NA
5,TREE,3,1,-0.07,20100101125959,NA
5,TREE,3,2,-0.17,20100101125959,NA
5,TREE,3,3,-0.27,20100101125959,NA
5,TREE,3,4,-0.47,20100101125959,NA
5,TREE,3,5,-0.57,20100101125959,NA
5,TREE,3,6,-0.87,20100101125959,NA
5,TREE,3,7,-1.37,20100101125959,NA
5,TREE,3,8,-1.97,20100101125959,NA
5,TREE,4,1,-0.06,20100101125959,NA
5,TREE,4,2,-0.16,20100101125959,NA
5,TREE,4,3,-0.26,20100101125959,NA
5,TREE,4,4,-0.46,20100101125959,NA
5,TREE,4,5,-0.56,20100101125959,NA
5,TREE,4,6,-0.86,20100101125959,NA
5,TREE,4,7,-1.36,20100101125959,NA
5,TREE,4,8,-1.96,20100101125959,NA
5,TREE,5,1,-0.06,20100101125959,NA
5,TREE,5,2,-0.16,20100101125959,NA
5,TREE,5,3,-0.26,20100101125959,NA
